,Name,OBJECTID,ID_UC,Reserve.Type,Class,gov_level,year_created,Polygon_quality,Organization_group_name,ID_TI,ADR6,Population,State,Municipality,OpDam_ID,NEAR_DIST_OpDam_m,Dam_ID,NEAR_DIST_alldams,Sum_Area_km2,Never_forested_km2,Area_deforested_km2
173,ESTA,1,3131,Esta,Protection Integral,Federal,2014,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,0,383409.4949,37,97427.58784,53043.62244,1213.765392,54.74184598
492,PARQUE NACIONAL DO PANTANAL MATOGROSSENSE,2,175,Park,Protection Integral,Federal,1981,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,39,248036.4612,60,248052.1527,1232.379903,847.6591769,
478,PARQUE NACIONAL DA CHAPADA DOS GUIMAR ES,3,138,Park,Protection Integral,Federal,1989,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,34,40084.82217,24,34991.59288,300.2867803,242.721403,32.5847561
550,RESERVA BIOLiGICA DO ABUFARI,4,194,Biological Reserve,Protection Integral,Federal,1982,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,41,364553.3272,66,364558.909,2234.09647,367.2288492,13.22379705
499,PARQUE NACIONAL SERRA DA MOCIDADE,5,189,Park,Protection Integral,Federal,1989,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,0,415226.2329,59,319761.0494,3896.381979,1345.03703,2.472017255
476,PARQUE NACIONAL DA AMAZdNIA,6,136,Park,Protection Integral,Federal,1974,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,3,213382.3092,70,0,10737.60714,0.632870324,48.44994786
555,RESERVA BIOLiGICA DO MANICORn,7,3411,Biological Reserve,Protection Integral,Federal,2016,Correct,Instituto Chico Mendes de Conserva1/o da Biodiversidade,,,,,,41,292084.8022,75,204628.7492,3518.038879,177.1843891,7.817968608
497,PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE,8,187,Park,Protection Integral,Federal,2002,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,2,89949.35614,17,0,42364.40197,,66.80500345
482,PARQUE NACIONAL DAS NASCENTES DO RIO ParaAIBA,9,156,Park,Protection Integral,Federal,2002,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,28,181497.9445,21,34257.57328,4676.710667,4558.631287,
479,PARQUE NACIONAL DA SERRA DA CUTIA,10,188,Park,Protection Integral,Federal,2001,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,234539.6434,39,234535.3992,2667.277839,518.5299964,3.632204993
