STATE,MUNICIPALITY
MT,Agua Boa
MT,General Carneiro
MT,Novo Sao Joaquim
MT,Poxor
MT,Nobres
MT,Nova Lacerda
RR,Bonfim
MT,Luciara
MT,Santa Terezinha
GO,Aruana
AC,Feijn
TO,Tocantenia
AM,Manicor
AM,Lambrea
AM,Tapaur
AM,Manicor 
AM,Boca do Acre
AM,Pauini
AM,Humait
AM,Manacapuru
AM,Autazes
AM,Careiro
RR,Alto Alegre
AC,Tarauaca
RO,Nova Mamoro
RO,Porto Velho
PA,Alenquer
PA,Almeirim
AP,Laranjal do Jari
PA,Obidos
PA,Oriximin
PA,Monte Alegre
AC,Rodrigues Alves
PA,Rondon do Par 
AC,Jordao
AC,Tarauacn
RO,Parecis
MT,Aripuana
MT,Ju na
PA,Cumaru do Norte
PA,Sao F
PA,Bannach
PA,Ourilindia do Norte
PA,Sao F4lix do Xingu
AP,Pedra Branca do Amapari
RO,Guajaro-Mirim
RO,Nova Mamorr
MT,Barao de Melgaao
PA,Altamira
PA,Brasil Novo
PA,Medicilndia
PA,Uruarr
RR,Amajari
MT,Juara
MA,Amarante do Maranhao
MA,Arame
MA,Bom Jesus das Selvas
MA,Buriticupu
MA,Graja
AP,Oiapoque
MA,Barra do Corda
MA,Fernando Falcao
PA,Santa Maria das Barreiras
PA,Senador Josg Porflrio
MA,Itaipava do Graja 
MA,Jenipapo dos Vieiras
PA,Vituria do Xingu
PA,Itupiranga
PA,Novo Repartimento
MT,Tangar
MT,Ju
MT,Rondon
PA,Tomb-Atu
RR,Boa Vista
TO,Santa F
TO,do Araguaia
PA,Tomb-AUu
AC,Feija
AC,Marechal Thaumaturgo
AC,MCncio Lima
MA,Grajae
MT,Canarana
MT,Ribeirao Cascalheira
AC,Feijk
AM,Santa Isabel do Rio Negro
AM,Sao Gabriel da Cachoeira
AM,Eirunepi
AM,Itamarati
AM,Maraa
AM,Carauari
AM,Jutac
AM,Novo Aripuana
AM,Envira
AM,Jutan
AM,Sao Paulo de Olivenaa
AM,Anori
AM,Beruri
PA,Faro
AM,Nhamunda
PA,Oriximino
AM,Urucara
AM,Alvaraes
AM,Tefb
AM,Uarini
AM,Atalaia do Norte
AM,Benjamin Constant
AM,Juta 
AM,Sao Paulo de OlivenGa
AM,Jutas
PA,Ipixuna do Par
MA,Lajeado Novo
MA,Montes Altos
MA,Sltio Novo
AM,Amatur
AM,Itacoatiara
AM,Humaita
AM,Manicoro
MT,Comodoro
AM,Fonte Boa
AM,Tapauh
MT,Alto Boa Vista
MT,Bom Jesus do Araguaia
MT,Sao Felix do Araguaia
MT,Confresa
MT,Porto Alegre do Norte
TO,Goiatins
TO,Itacaja
MT,Poxoroo
MT,Cocalinho
AM,Manaquiri
AM,Borba
AM,Tapaun
