Name,OBJECTID,ID_UC,RESERVE_TYPE,CLASS,GOV_LEVEL,YEAR_CREATED,POLYGON_QUALITY,ID_TI,ADR6,POPULATION,OPDAM_ID,NEAR_DIST_OpDam_m,DAM_ID,NEAR_DIST_ALLDAMS_m,TOTAL_AREA_KM2,NEVER_FOR_KM2,DEF_AREA_KM2
Esta,1,3131,Esta,Protection Integral,Federal,2014,Correct,,,,0,383409.4949,37,97427.58784,53043.62244,1213.765392,54.74184598
Parque Nacional Do Pantanal Matogrossense,2,175,Park,Protection Integral,Federal,1981,Correct,,,,39,248036.4612,60,248052.1527,1232.379903,847.6591769,
Parque Nacional Da Chapada Dos Guimar Es,3,138,Park,Protection Integral,Federal,1989,Correct,,,,34,40084.82217,24,34991.59288,300.2867803,242.721403,32.5847561
Reserva Bioligica Do Abufari,4,194,Biological Reserve,Protection Integral,Federal,1982,Correct,,,,41,364553.3272,66,364558.909,2234.09647,367.2288492,13.22379705
Parque Nacional Serra Da Mocidade,5,189,Park,Protection Integral,Federal,1989,Correct,,,,0,415226.2329,59,319761.0494,3896.381979,1345.03703,2.472017255
Parque Nacional Da Amazdnia,6,136,Park,Protection Integral,Federal,1974,Correct,,,,3,213382.3092,70,0,10737.60714,0.632870324,48.44994786
Reserva Bioligica Do Manicorn,7,3411,Biological Reserve,Protection Integral,Federal,2016,Correct,,,,41,292084.8022,75,204628.7492,3518.038879,177.1843891,7.817968608
Parque Nacional Montanhas Do Tumucumaque,8,187,Park,Protection Integral,Federal,2002,Correct,,,,2,89949.35614,17,0,42364.40197,,66.80500345
Parque Nacional Das Nascentes Do Rio Paraaiba,9,156,Park,Protection Integral,Federal,2002,Correct,,,,28,181497.9445,21,34257.57328,4676.710667,4558.631287,
Parque Nacional Da Serra Da Cutia,10,188,Park,Protection Integral,Federal,2001,Correct,,,,23,234539.6434,39,234535.3992,2667.277839,518.5299964,3.632204993
Reserva Bioligica Do Rio Trombetas,11,210,Biological Reserve,Protection Integral,Federal,1979,Correct,,,,3,266828.768,11,125042.9267,4275.105995,,21.7355723
Parque Nacional Virue,12,179,Park,Protection Integral,Federal,1998,Correct,,,,0,366810.7536,59,263595.1472,2332.347896,1174.040608,11.03477167
Estacio Ecologico De Cuni,13,53,Ecological Station,Protection Integral,Federal,2001,Correct,,,,41,21420.62795,66,21429.71953,1794.642068,187.455852,14.31628146
Parque Nacional Do Juruena,14,281,Park,Protection Integral,Federal,2006,Correct,,,,4,143425.4602,32,69957.07155,18981.0258,969.0444042,123.9119711
Parque Nacional Do Pico Da Neblina,15,177,Park,Protection Integral,Federal,1979,Correct,,,,0,650381.0241,59,613630.2989,24089.43313,32.36381042,117.8380527
Parque Nacional Mapinguari,16,1633,Park,Protection Integral,Federal,2008,Correct,,,,23,568.2139539,39,576.6071285,17155.268,1593.078704,134.2690982
Reserva Bioligica Do Gurupi,17,207,Biological Reserve,Protection Integral,Federal,1988,Approximate,,,,5,283531.4203,73,187597.6203,2751.985516,,804.40098
Parque Nacional Do Jas,18,173,Park,Protection Integral,Federal,1980,Correct,,,,0,209119.7751,6,209127.0691,24461.88512,189.1276821,58.02020478
Estacio Ecologico De Taiamc,19,62,Esta,Protection Integral,Federal,1981,Correct,,,,20,210358.6741,38,210347.8398,105.5262478,95.52476511,
Parque Nacional Nascentes Do Lago Jari,20,1626,Park,Protection Integral,Federal,2008,Correct,,,,41,266595.3552,66,266600.3025,8062.283864,118.0996827,35.3146177
Estacio Ecologico De Maracc Jipioca,21,58,Esta,Protection Integral,Federal,1981,Correct,,,,2,140643.216,13,86994.86601,655.1973416,431.9078536,10.02851531
Parque Nacional Dos Campos Amazrnicos,22,284,Park,Protection Integral,Federal,2006,Correct,,,,41,149177.4192,75,10366.89243,9289.360749,1903.867622,66.4161579
Estacio Ecologico De Maracc,23,57,Esta,Protection Integral,Federal,1981,Correct,,,,0,620688.3066,59,507460.9146,1160.544585,4.520462725,30.77628428
Estacio Ecologico Da Terra Do Meio,24,47,Ecological Station,Protection Integral,Federal,2005,Correct,,,,3,178352.9247,10,171105.6538,33486.16345,210.5030619,498.9104414
Reserva Bioligica Do Lago Piratuba,25,209,Biological Reserve,Protection Integral,Federal,1980,Correct,,,,16,89495.13393,13,87564.27176,4251.288898,3048.782775,15.05012533
Estacio Ecologico De Caracaras,26,51,Esta,Protection Integral,Federal,1982,Correct,,,,0,431017.9907,59,323717.8427,948.6624111,112.8910699,65.05874172
Parque Nacional Da Serra Do Pardo,27,151,Park,Protection Integral,Federal,2005,Correct,,,,3,317524.236,10,293193.6684,4414.836512,465.2854906,267.1836999
Estacao Ecologica Serra Geral Do Tocantins,28,76,Ecological Station,Protection Integral,Federal,2001,Correct,,,,28,154046.5361,21,20991.87119,5957.041286,5955.216489,
Parque Nacional Do Jamanxim,29,267,Park,Protection Integral,Federal,2006,Correct,,,,3,273109.027,15,50635.3426,8534.706413,0.39050516,175.8468989
Estacio Ecologico Rio Acre,30,68,Esta,Protection Integral,Federal,1981,Correct,,,,23,604330.0295,20,474086.7784,736.020527,,
Estacio Ecologico De Niquic,31,60,Esta,Protection Integral,Federal,1985,Correct,,,,0,380411.0958,59,286635.033,3088.615474,2153.133499,9.738699789
Estacio Ecologico Juami-Japurs,32,72,Esta,Protection Integral,Federal,1985,Correct,,,,45,838549.3727,20,723663.4138,8594.361972,,0.467178469
Reserva Bioligica Nascentes Serra Do Cachimbo,33,216,Biological Reserve,Protection Integral,Federal,2005,Correct,,,,4,514992.5238,27,207490.3792,3289.232741,1730.997354,292.1439127
Parque Nacional Da Serra Do Divisor,34,149,Park,Protection Integral,Federal,1989,Correct,,,,23,884283.9382,20,721032.4538,8113.858608,0.018706859,172.3945248
Parque Nacional De Pacads Novos,35,163,Park,Protection Integral,Federal,1979,Correct,,,,23,154968.8412,39,154961.5944,6693.582108,2025.178619,22.10151437
Reserva Bioligica Do Uatumc,36,213,Biological Reserve,Protection Integral,Federal,1990,Correct,,,,0,14465.44,59,4223.307397,9830.04286,,2.266077078
Parque Nacional Do Araguaia,37,168,Park,Protection Integral,Federal,1959,Correct,,,,28,179827.4341,34,163342.2796,5270.372391,3640.030813,36.67458131
Parque Nacional Do Cabo Orange,38,169,Park,Protection Integral,Federal,1980,Correct,,,,2,212251.6705,13,107313.696,4957.012237,3027.06524,18.57979973
Estacio Ecologico Do Jari,39,67,Esta,Protection Integral,Federal,1982,Correct,,,,46,24858.29823,7,102133.0749,2445.959509,,7.669390435
Estacio Ecologico De Ique,40,55,Esta,Protection Integral,Federal,1981,Correct,,,,40,122782.8819,22,81145.03078,2087.830321,648.3283527,22.41466349
Parque Nacional De Anavilhanas,41,49,Park,Protection Integral,Federal,1981,Approximate,,,,0,135196.2241,6,135201.7925,3609.213935,,5.449488609
Parque Nacional Do Monte Roraima,42,174,Park,Protection Integral,Federal,1989,Correct,,,,0,752470.7205,59,635600.4249,1345.096298,160.7473997,21.52411827
Reserva Bioligica Do Tapirapn,43,211,Biological Reserve,Protection Integral,Federal,1989,Correct,,,,51,211864.599,49,139957.9812,985.920803,0.836768731,6.605301451
Reserva Bioligica Do Guaporo,44,206,Biological Reserve,Protection Integral,Federal,1982,Correct,,,,40,168000.8648,64,168008.419,5754.729586,2293.820527,34.01040404
Parque Nacional Do Rio Novo,45,264,Park,Protection Integral,Federal,2006,Correct,,,,4,373168.3716,71,125747.0504,5231.020932,111.0496153,95.42893767
Reserva Bioligica Do Jaru,46,208,Biological Reserve,Protection Integral,Federal,1979,Correct,,,,41,201205.8082,75,68150.65835,3309.739299,6.819196193,96.43467437
Parque Nacional Da Chapada Das Mesas,47,272,Park,Protection Integral,Federal,2005,Approximate,,,,5,35846.5642,30,35871.52545,1563.881772,1563.881427,
Estacio Ecologico De Juta -Solimves,48,56,Esta,Protection Integral,Federal,1983,Correct,,,,45,717688.8812,20,616223.3966,2958.384578,,10.688588
Estacio Ecologico Da Serra Das Araras,49,75,Esta,Protection Integral,Federal,1982,Correct,,,,26,125402.2399,65,114053.5981,249.4186655,197.6517632,0.388286793
Parque Nacional Do Acari,50,3410,Park,Protection Integral,Federal,2016,Correct,,,,4,377875.6811,37,217627.1174,8844.692965,142.9047621,10.09518104
Floresta Nacional De TapajS,51,123,Forest,Sustainable Use,Federal,1974,Correct,,,,3,66445.20589,28,66452.85092,5393.961505,,280.2498095
Floresta Nacional Do Aman,52,271,Forest,Sustainable Use,Federal,2006,Correct,,,,3,374936.0393,37,26072.97114,6805.808364,,50.04882229
Reserva Extrativista Alto Tarauaca,53,274,Extractive Reserve,Sustainable Use,Federal,2000,Correct,,,,23,766322.1854,20,601611.217,1451.904161,,37.16254852
Reserva Particular Do Patrimnnio Natural Sonhada,54,2216,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2010,Correct,,,,28,179785.4132,46,179834.5654,8.46679594,0.098131851,
Reserva Particular Do Patrimnnio Natural Irmdos Satelis,55,3090,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2012,Correct,,,,40,152273.0024,64,152287.4205,0.388513686,,0.119930522
Floresta Nacional Do Crepori,56,270,Forest,Sustainable Use,Federal,2006,Correct,,,,4,406590.5901,37,78446.50691,7287.817339,,30.32355554
Area De Relevante Interesse Ecologica Javari Buriti,57,38,Area of Relevant Ecological Interest,Sustainable Use,Federal,1985,Correct,,,,45,749929.3632,20,639058.7706,134.7018305,,
Reserva Extrativista Arapixi,58,285,Extractive Reserve,Sustainable Use,Federal,2006,Correct,,,,23,322840.5359,20,157582.8797,1286.234798,0.040991623,26.20657691
Floresta Nacional Do Iquiri,59,1612,Forest,Sustainable Use,Federal,2008,Correct,,,,23,124147.25,14,0,14211.19555,44.53639614,100.0238245
Reserva Extrativista Do M Dio Puras,60,1606,Extractive Reserve,Sustainable Use,Federal,2008,Correct,,,,45,192053.8874,19,87550.17568,5882.680695,35.47827215,44.22265621
Reserva Extrativista Marinha Caetatapera U,61,248,Extractive Reserve,Sustainable Use,Federal,2005,Correct,,,,51,445162.2602,80,445156.9128,294.2081161,4.222839616,27.53590455
Floresta Nacional De Anau,62,84,Forest,Sustainable Use,Federal,2005,Correct,,,,0,283837.4983,59,188294.5431,2791.730242,886.6460176,6.180903333
Floresta Nacional De Caxiuann,63,89,Forest,Sustainable Use,Federal,1961,Correct,,,,46,137775.6974,10,96856.42231,3297.744591,2.578236311,18.20662021
Reserva Extrativista Chico Mendes,64,222,Extractive Reserve,Sustainable Use,Federal,1990,Correct,,,,23,365508.636,20,247550.4688,8840.266058,,491.4337693
Floresta Nacional De Tapirapn-Aquiri,65,124,Forest,Sustainable Use,Federal,1989,Correct,,,,51,226232.0232,49,157786.172,1948.068137,0.341155006,23.15957012
Floresta Nacional De Mulata,66,99,Forest,Sustainable Use,Federal,2001,Correct,,,,3,141379.563,45,0,2269.615368,445.6877169,8.121520155
Area De Protecao Ambiental Meandros Do Araguaia,67,24,Enviornmental Protection Area,Sustainable Use,Federal,1998,Correct,,,,36,191222.2747,56,191277.7129,2879.138923,2002.506283,16.99315963
Floresta Nacional Do Aripuann,68,3409,Forest,Sustainable Use,Federal,2016,Correct,,,,41,271033.8396,75,174964.934,7358.730763,136.6517443,17.46132875
Reserva Extrativista Do Cirinco,69,1519,Extractive Reserve,Sustainable Use,Federal,1992,Correct,,,,5,145200.2199,73,52992.84377,80.83571485,3.107467103,57.39352108
Reserva Extrativista Arieca Pruana,70,273,Extractive Reserve,Sustainable Use,Federal,2005,Correct,,,,51,142722.1337,80,142729.5258,864.9926367,12.82842589,101.5654256
Reserva Extrativista Mapu,71,244,Extractive Reserve,Sustainable Use,Federal,2005,Correct,,,,16,219274.8624,31,219267.2145,982.9553046,87.29794194,31.2451078
Reserva Particular Do Patrimnnio Natural Gibeio,72,2708,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2012,Correct,,,,40,152426.24,64,152440.6327,0.295801983,,0.043242936
Reserva Particular Do Patrimnnio Natural Osorio Reimao,73,2146,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2009,Correct,,,,51,175062.5117,80,175066.5471,0.091758077,,0.01840446
Reserva Extrativista Rio Iriri,74,280,Extractive Reserve,Sustainable Use,Federal,2006,Correct,,,,3,183617.8236,15,180348.7775,3996.905662,,77.53936537
Floresta Nacional De Bom Futuro,75,116,Forest,Sustainable Use,Federal,1988,Correct,,,,45,36163.23079,68,36156.85414,932.1767606,0.170345259,133.4240774
Reserva Extrativista Riozinho Da Liberdade,76,257,Extractive Reserve,Sustainable Use,Federal,2005,Correct,,,,23,794399.2374,20,626429.0189,3143.317559,,56.02168196
Floresta Nacional De Urupadi,77,3408,Forest,Sustainable Use,Federal,2016,Correct,,,,4,398711.4992,37,108888.2607,5317.170407,17.75636613,30.67775007
Area De Protecao Ambiental Dos Campos De Manicorr,78,3407,Enviornmental Protection Area,Sustainable Use,Federal,2016,Correct,,,,41,266625.24,75,182389.082,1490.572939,91.01002919,5.144090601
Reserva Extrativista  Do Rio Cautario,79,238,Extractive Reserve,Sustainable Use,Federal,2001,Correct,,,,23,264088.0428,39,264082.7837,705.9913483,136.7687039,10.27956222
Reserva Extrativista Marinha Tracuateua,80,250,Extractive Reserve,Sustainable Use,Federal,2005,Correct,,,,51,430926.648,80,430921.9876,200.5753632,10.92751034,9.433520096
Reserva Extrativista Barreiro Das Antas,81,221,Extractive Reserve,Sustainable Use,Federal,2001,Correct,,,,23,222714.2425,39,222712.1033,999.1513314,17.4063684,19.9238043
Floresta Nacional De Purus,82,121,Forest,Sustainable Use,Federal,1988,Correct,,,,23,306779.914,20,134878.2291,2477.788551,,23.66002058
Floresta Nacional De Itaituba I,83,95,Forest,Sustainable Use,Federal,1998,Correct,,,,3,346644.7881,37,2143.76826,2119.13486,,6.822251011
Floresta Nacional De Carajcs,84,88,Forest,Sustainable Use,Federal,1998,Correct,,,,51,242165.004,49,121863.818,3863.420096,155.416697,65.9251791
Reserva De Desenvolvimento Sustent Vel  Itatupv-Baquid,85,218,Sustainable Development Reserve,Sustainable Use,Federal,2005,Correct,,,,46,116502.8506,31,159392.027,679.1908019,,0.25921271
Floresta Nacional De Tefe,86,112,Forest,Sustainable Use,Federal,1989,Correct,,,,45,505524.1248,19,447082.0957,8739.940085,110.3739744,117.0639283
